id,pergunta,ground_truth
1,Para que serve a Carda TC 15?,"Cardas do tipo TC servem exclusivamente para cardar fibras naturais e químicas, misturas de fibras sintéticas e de algodão, assim como material reciclado."
2,Onde fica a placa de identificação da máquina?,"A placa de identificação da carda se encontra por detrás da terceira porta, no lado esquerdo, debaixo da estrutura da máquina."
3,Quais dados constam na placa de identificação da carda?,"A placa de identificação contém os seguintes dados: Designação do tipo, Número do tipo, Número de comissão, Ano de fabrico, Marca CE."
4,Onde está a placa de identificação elétrica da máquina?,"A placa de identificação com os dados de conexão elétrica se encontra afixada no lado interior da porta direita do painel elétrico."
5,O que contém a placa de identificação elétrica?,"A placa de identificação contém os seguintes dados: Tensão de operação 3 fases AC, Tensão de comando 1 fase AC, Potência instalada, N.º do desenho."
6,O que deve ser feito se entrarem líquidos no painel elétrico?,"Caso tenham entrado líquidos na máquina ou em componentes, desligar a máquina no interruptor principal, bloquear o interruptor contra uma nova ligação e informar o pessoal competente e qualificado ou o pessoal do suporte técnico da Firma Trützschler."
7,O que faz o botão de desconexão de emergência?,"O circuito de desconexão de emergência faz efeito em todos os acionamentos motorizados e cilindros pneumáticos da carda, do alimentador de flocos e da sentinela ou do trocador de vasos. Os acionamentos serão imediatamente freados à máxima retardação e desligados."
8,Quando é possível religar a máquina após acionar a desconexão de emergência?,"Somente é possível voltar a ligar quando o circuito de segurança estiver fechado, ou seja, todas as portas fechadas e trancadas e o botão de desconexão de emergência destrancado."
9,O que acontece ao apertar a tecla de desconexão de emergência?,"Aperte a tecla de desconexão de emergência até ao batente para parar a máquina em caso de emergência. Os acionamentos serão imediatamente freados à máxima retardação e desligados."
10,O que são os dispositivos de segurança nas portas?,"Fora a posta, todas as portas estão providas com trincos de segurança elétricos. As portas protegidas não podem ser abertas com a máquina em funcionamento."
11,Como funciona o interruptor principal?,"Com o interruptor principal, ligue a alimentação de corrente para a máquina (I) e desligue a máquina da alimentação de corrente (O). Em trabalhos de manutenção e de ajustes, você poderá bloquear o interruptor principal desligado com um cadeado."
12,O que significa o símbolo PERIGO no manual?,"Este sinal indica um perigo iminente para o usuário, o qual pode ocorrer devido a lesões mortais ou danos pessoais."
13,O que significa o símbolo Cuidado no manual?,"Este sinal indica perigos que podem causar danos materiais ou a perda de dados."
14,O que significa o símbolo Aviso no manual?,"Este sinal identifica dicas e particularidades que facilitam o manuseio da máquina."
15,Qual é a função principal da carda?,"A carda é alimentada com a ajuda do alimentador de flocos, com uma esteira de fibras uniformemente compactada – o chamado carpete. A carda solta esse carpete até à fibra elementar e coloca as fibras paralelas. Para isso, são removidos eventuais nós (neps) e sujeira residual."
16,O que é o alimentador de flocos DIRECTFEED DFK?,"O material da fibra é aspirado pela instalação de abertura com um ventilador de transporte e o alimentador de flocos, através de uma conduta de alimentação e de distribuição. O cilindro abridor zela por uma abertura uniforme do material, o ventilador assegura uma compactação uniforme do material no silo inferior."
17,Qual a função da tina integral flexível SENSOFEED+?,"A tina integral flexível SENSOFEED+ assegura uma aproximação controlada do véu à unidade do pré-abridor WEBFEED. A mesa de alimentação compacta o véu de flocos e encaminha-o para a aresta da tina em forma de lâmina."
18,De quais componentes é composta a unidade de pré-abridor com 3 cilindros?,"A unidade do pré-abridor é composta por três cilindros abridores e de limpeza. Em uma unidade do pré-abridor com três cilindros, o primeiro cilindro é equipado com agulhas ou de uma guarnição, em função do material a ser processado; os dois cilindros seguintes são equipados de guarnições de aço especial."
19,Como funciona a zona de retirada do véu?,"A guarnição do cilindro de doffer aceita as fibras do tambor e forma o véu de fibras. O cilindro raspador puxa em seguida o véu do cilindro do doffer e transporta-o sobre o perfil do véu para ambos os cilindros esmagadores. O véu deixa os cilindros esmagadores e é levado através da fita transversal para o funil de entrada."
20,Quais são as teclas básicas do controle da máquina?,"As teclas básicas do controle da máquina têm as seguintes funções: Inicializar a máquina (Start), Parar a máquina (Stop), Levar a máquina na operação intermitente."
21,Como funciona a tecla Start?,"Quando o LED verde de Start piscar, você poderá apertar a tecla Start. Através desta tecla coloca-se em funcionamento a máquina que está pronta a funcionar."
22,O que faz a tecla Stop?,"Com esta tecla, você pode parar a máquina."
23,Como funciona a operação intermitente?,"Cada toque na tecla de operação intermitente acelera passo a passo o transporte do material. Se mantiver a tecla de operação intermitente apertada, o transporte de material é acelerado continuamente."
24,O que indica o LED de Power?,"O LED de Power permite saber se a unidade de comando está ligada e ativa, mesmo quando o protetor de tela estiver ativo e você não visualizar qualquer mostrador na tela."
25,Como é composta a unidade de comando da carda?,"A unidade de comando é composta pelo touch screen (tela tátil), uma combinação de visor e zona de introdução, e teclas básicas. O touch screen mostra mensagens e gráficos como um monitor comum."
26,Como se deve operar o touch screen?,"Toque com a ponta dos dedos ligeiramente no símbolo pretendido. Conforme o botão, é marcado e selecionado um valor ou é chamada uma função e uma nova janela aparece."
27,O que não deve ser feito com o touch screen?,"Não bata nem dê pancadas no touch screen. Não use objetos como canetas ou ferramentas."
28,O que mostra a área principal da tela?,A área principal da tela comuta de acordo com a função. Mostra textos e gráficos e em parte também botões que podem ser premidos.
29,O que acontece com o monitor após um tempo predeterminado?,"Depois de decorrido um tempo predeterminado, o monitor touch screen desliga a iluminação do fundo sem que se percam os dados. Toque uma vez no monitor touch screen para reativá-lo."
30,O que é o sistema T-CON?,"Com a ajuda de T-CON, pode sempre ler-se, durante a produção, no touch screen, a medida atual da fenda da carda. No caso de contato entre os elementos de funcionamento e a guarnição do tambor, T-CON desliga a carda."
31,Por que a fenda da carda se altera durante a operação?,"Em caso de cardas de potência elevada, as fendas da carda se alteram na operação, devido à força centrífuga e à dilatação térmica."
32,Quando o T-CON precisa ser referenciado?,"As fendas efetivas da carda são calculadas durante a produção. Para isso, o T-CON precisa ser referenciado com a máquina fria."
33,Quem realiza a montagem inicial da carda?,"A montagem da carda com todas as definições básicas necessárias é efetuada pelo serviço de assistência Trützschler."
34,Qual é a temperatura mínima para realizar ajustes mecânicos?,"Os trabalhos de ajuste descritos não podem ser realizados a temperaturas ambiente abaixo de 18 °C. Isso se aplica para a primeira colocação em serviço, depois de trabalhos de recolocação da guarnição ou depois de trabalhos de conservação."
35,O que é configurado na configuração da máquina?,"Com esta configuração da máquina, comunicar ao sistema quais os componentes da máquina e quais as opções de equipamento que existem em sua instalação da carda."
36,O que é configurado no item Acionamento principal?,"Escolher se o acionamento principal está equipado com um conversor de frequência (CF) ou escolher a frequência da rede correspondente à rede local de alimentação de corrente."
37,O que é configurado no item Pré-abridor?,"Comunicar ao sistema se a carda está equipada com um pré-abridor de 1 cilindro ou um pré-abridor de 3 cilindros."
38,O que é configurado no item T-CON?,"Comunicar ao sistema se pretende ligar ou não a otimização da fenda da carda T-CON."
39,O que é o sistema MULTI WEBCLEAN?,"O sistema MULTI WEBCLEAN permite o emprego flexível de diferentes elementos da carda, de limpeza, de controle e de cobertura. Os elementos podem ser posicionados conforme os requisitos, nas mais diversas combinações."
40,Como se ajusta a distância do sistema de flats em relação ao tambor?,"A distância do sistema de flats em relação ao tambor se ajusta continuamente com a ajuda de uma alavanca. Em alternativa, está integrado um deslocamento motorizado (opção) que é operado com o touch screen."
41,Qual é o intervalo de manutenção para limpar todos os exaustores?,"Limpar todos os exaustores: intervalo de manutenção de 120 horas."
42,Qual é o intervalo de manutenção para limpar o alimentador de flocos?,"Limpar o alimentador de flocos: intervalo de manutenção de 120 horas."
43,Qual é o intervalo de manutenção para limpar a mesa de alimentação?,"Limpar a mesa de alimentação: intervalo de manutenção de 120 horas."
44,Quando o intervalo de 120 horas deve ser reduzido para 24 horas?,"Para materiais com grande percentagem de substâncias adesivas ou com grau de sujidade elevado, o intervalo de 120 horas é reduzido para 24 horas. Exemplos: Material reciclado, linho e comprimentos das pilhas < 7 mm e > 60 mm."
45,O que deve ser feito antes de executar trabalhos de manutenção?,"Desligue a máquina antes de executar os trabalhos de manutenção. Comece com os trabalhos de manutenção só quando a máquina estiver desligada da fonte de energia e todos os cilindros estiverem imobilizados. Proteja contra religação o interruptor principal desligado com um cadeado e uma placa de aviso."
46,O que deve ser usado durante trabalhos de manutenção com acionamentos em operação?,"Usar vestuário justo ao corpo, fechado e, se usar cabelo comprido, uma rede para o cabelo. Nunca toque nos cilindros com a mão!"
47,Como limpar os canais de aspiração?,"Se os canais de aspiração estiverem sujos, retire os canais de aspiração da manga de união, sugue e limpe com um pano úmido. Limpe os canais de aspiração por dentro a seco ou deixe secar."
48,Como é realizado o procedimento de inversão da máquina?,"Você pode deixar o acionamento para o cilindro de alimentação do alimentador de flocos DFK e o acionamento para o cilindro de retenção da carda funcionar para trás (= inverter), por exemplo para remover sujeiras grosseiras."
49,Quais são os acionamentos que podem ser invertidos?,"M 301 Acionamento da retenção DFK e M 351 Acionamento da retenção da carda."
50,Quais válvulas podem ser testadas na operação de serviço?,"K 802 Funil de aspiração do rolete, K 803 Webspeed, K 804 Auxiliar de enfiamento."
51,O que é o modo de operação de serviço?,"Neste modo operativo pode efetuar o serviço de guarnição para tambor, flat móvel e doffer, bem como inspecionar os acionamentos e válvulas pneumáticas. Além disso é possível o ensaio do trocador de vasos."
52,Quem pode usar a operação de serviço?,"A operação de serviço só está prevista para pessoal de serviço autorizado. Na operação de serviço, os dispositivos de segurança estão desativados. Por isso, a operação de serviço só pode ser realizada por pessoal técnico especialmente formado para o efeito."
53,Como terminar a operação de serviço?,"Abra a porta de manutenção posterior no lado direito da máquina. Rode o interruptor de chave amovível para a operação de serviço da posição I para a posição 0. Retire e guarde a chave de serviço para evitar acesso não autorizado."
54,O que acontece com guarnições desgastadas do pré-abridor?,"Guarnições desgastadas do pré-abridor são trocadas e não retificadas posteriormente."
55,O que acontece com frisos desgastados da carda?,"Frisos desgastados da carda são trocados e não retificados posteriormente."
56,O que acontece com guarnições desgastadas dos flats fixos?,"Guarnições desgastadas dos flats fixos são trocadas e não retificadas posteriormente."
57,Qual é a causa da falha 302 - Monitoramento de metais?,"Partícula de metal detectada no véu."
58,Como resolver a falha 302 - Monitoramento de metais?,"Inverter máquina e retirar as peças metálicas."
59,O que causa a falha 404 - Temperatura do controle da máquina?,"A temperatura no sistema de comando da máquina é demasiado elevada."
60,Como resolver a falha 404 - Temperatura do controle da máquina?,"Desconecte a máquina e deixe resfriar. Controlar o ventilador do painel elétrico."
61,O que causa a falha 413 - Tambor não arrancou?,"O tambor não arrancado."
62,Como resolver a falha 413 - Tambor não arrancou?,"Verifique o motor, os sensores, as correias ou a tensão das correias."
63,O que causa a falha 430 - Monitoramento do valor CV?,"O valor CV é maior do que o especificado."
64,Como resolver a falha 430 - Monitoramento do valor CV?,"Verifique os ajustes em Valor limite do valor CV (Ajustes / Programação > Valores limite). Eliminar as acumulações fibrosas na área da recepção do véu."
65,O que causa a falha 336 - Cilindros espremedores à esquerda?,"Entre os cilindros esmagadores no lado esquerdo entrou um ponto grosso."
66,Como resolver a falha 336 - Cilindros espremedores à esquerda?,"Extraia o ponto grosso, reinicialize a carda, se necessário verifique o sensor correspondente."
67,O que causa a falha 358 - Parada de emergência externa?,"Foi apertado um botão de parada de emergência."
68,Como resolver a falha 358 - Parada de emergência externa?,"Investigue o motivo para a parada de emergência, repare a causa e volte a desbloquear o botão de parada de emergência."
69,O que causa a falha 391 - Congestionamento no prato de depósito?,"A fita acumulou no prato de depósito."
70,Como resolver a falha 391 - Congestionamento no prato de depósito?,"Eliminar as acumulações de fita, voltar a introduzir a fita. Se necessário, verifique o sensor correspondente."
71,O que causa a falha 451 - Desvio da estiragem?,"A estiragem operada diverge da estiragem introduzida (Ajustes / Programação > dados relativos ao lote > Estiragem mínima ou Estiragem máxima) mais do que ± 30 %."
72,Como resolver a falha 451 - Desvio da estiragem?,"Reiniciar a carda, controlar título da fita, calibrar a carda de novo."
73,O que causa a falha 263 - Troca de vasos?,"Durante a troca de vasos, ocorreu uma falha."
74,Como resolver a falha 263 - Troca de vasos?,"Realize a troca de vasos manualmente."
75,O que causa a falha 258 - Carregador de vasos vazio?,"No trocador de vasos não existe nenhum vaso vazio."
76,Como resolver a falha 258 - Carregador de vasos vazio?,"Introduza um vaso vazio no trocador de vasos. Controlar o interruptor de fim de curso."
77,O que causa a falha 385 - Erro de memória?,"Efetuaram-se alterações na máquina, trocou-se o programa de controle ou ocorreu um verdadeiro erro de memória."
78,Como resolver a falha 385 - Erro de memória?,"Se o erro voltar a aparecer depois da ligação, controlar a bateria, controlar o interruptor DIP para a bateria e confirmar o erro. Se o erro voltar a aparecer, informar a assistência técnica da empresa Trützschler."
79,O que causa a falha 1086 - T-CON Contato com guarnição do tambor?,"T-CON detectou um contato entre o tambor e o pré-abridor, barras dos flats, doffer ou uma cassete Twin-Top (demasiados impulsos por unidade de tempo)."
80,Como resolver a falha 1086 - T-CON Contato com guarnição do tambor?,"Calcular ponto de contato para o tambor conforme a indicação de lugar na linha do título do touch screen. Retirar as respectivas peças desmontáveis e reparar a causa do contato. Ajustar todos os elementos conforme o projeto de ajuste."
81,O que causa a falha 156 - Barramento CAN avariado?,"No sistema CAN Bus ocorreu uma falha. Várias ou todas as estações BUS não reagem."
82,Como resolver a falha 156 - Barramento CAN avariado?,"Controlar as conexões de cabo do sistema Bus. A mensagem de falha não pode ser confirmada. Acionar um reset do sistema mediante o interruptor principal."
83,O que causa a falha 433 - Monitoramento do espectrograma?,"Ocorrem oscilações de qualidade fortes demais na fita."
84,Como resolver a falha 433 - Monitoramento do espectrograma?,"Com ajuda da análise do espectrograma, procure os pontos de troca marcados ou elementos de acionamento e verifique os respectivos módulos quanto a danos."
85,O que causa a falha 711 - Monitoramento do sinal da fita (-)?,O valor da fineza da fita ficou repentinamente insuficiente.
86,Como resolver a falha 711 - Monitoramento do sinal da fita (-)?,"Procure e corrija a causa do ponto fino."
87,Como proceder quando surgir uma falha na máquina?,"Com a ajuda da mensagem de falhas, localize o local da falha e repare a falha. Confirmar falha com o botão vermelho. Reiniciar a carda."
88,O que fazer quando uma mensagem de falha desaparece ao apertar fora da janela?,"Volte a premir o botão Exibir falha na linha superior dos botões para voltar a exibir a mensagem de falha. Em seguida, pode reparar a falha e confirmar com o botão na janela de mensagens de falhas."
89,Quais são as funções disponíveis no menu de operação de serviço?,"Funções de serviço: Serviço aos flats, Retificar, Inverter, Ensaio dos motores, Testar acionamentos, Testar T-MOVE."
90,Quais motores podem ser testados na operação de serviço?,"M 302 Cilindro abridor e ventilador DFK, M 378 Motor do tambor, M 381 Cilindro de strip dos flats, M 401 Ventilador de aspiração, M 414 Cilindro de limpeza raspador."
91,O que é o sistema T-LED?,"Com a faixa de LED T-LED, é visualizado o nível de enchimento dos vasos T-MOVE. Nas duas extremidades, é limitado por dois LED azuis e dividido no meio por quatro LED azuis em duas áreas."
92,O que indica o sinal de flash amarelo no T-LED?,"Quando o vaso estiver cheio, toda a cadeia de LED emite um sinal de flash amarelo como alerta para trocar o vaso cheio por um vaso vazio."
93,Qual o valor de ajuste da medida da fenda do cilindro de retenção no DFK?,"Verificar se a medida indicada corresponde à medida da fenda no ponto de contato do cilindro de retenção. Valor: 2,6 ±0,2 mm (102 ±8 1/1000'')."
94,Como ajustar a distância entre o cilindro de retenção e o pré-abridor?,"Desenroscar o perfil de cobertura. Soltar os parafusos de retenção para o excêntrico. Desenroscar os parafusos de fixação. Rodar o excêntrico para alterar a distância entre o cilindro de retenção da mesa de alimentação e o primeiro cilindro pré-abridor. Ajustar com o calce de precisão 40/1000''."
95,Como alinhar o silo inferior?,"Com a alavanca de ajuste, ajustar a altura do silo inferior para 40/1000''. É possível ler o valor na escala. Calibrar a fenda entre o cilindro de retenção e o silo inferior a toda a largura do cilindro com um calce de precisão para 40/1000''."
96,O que é o valor CV exibido na visualização básica?,"CV significa oscilação da massa da fita (comprimento de corte 3 cm)."
97,O que é D% na visualização básica?,"D% significa desvio da estiragem."
98,Qual é a designação dos lados na carda segundo a norma?,"A designação dos lados à esquerda e à direita corresponde às especificações para máquinas de fiação DIN ISO 92. Para máquinas com um fluxo de material numa direção, é válida a direção de visualização contra o fluxo de material."
99,Quem é o fabricante da Carda TC 15?,"Trützschler GmbH & Co. KG, Textilmaschinenfabrik, D-41241 Mönchengladbach."
100,Qual é o número de tipo da Carda TC 15?,"Tipo n.º 916 70 01."

